time,lat,lon,depth,NO3_darwin_clim
2,-5.25,179.75,5,3.8474846
2,-4.75,176.75,5,3.8461878
2,-4.75,177.25,5,3.8572202
2,-4.75,177.75,5,3.8678966
2,-4.75,178.25,5,3.878218
2,-4.75,178.75,5,3.8889668
2,-4.75,179.25,5,3.9001427
2,-4.75,179.75,5,3.9119103
2,-4.25,176.75,5,3.9040463
2,-4.25,177.25,5,3.9173872
2,-4.25,177.75,5,3.9298239
2,-4.25,178.25,5,3.9413633
2,-4.25,178.75,5,3.9525917
2,-4.25,179.25,5,3.9635136
2,-4.25,179.75,5,3.9745202
2,-3.75,176.75,5,3.9586005
2,-3.75,177.25,5,3.9734054
2,-3.75,177.75,5,3.9874423
2,-3.75,178.25,5,4.0007367
2,-3.75,178.75,5,4.0135484
2,-3.75,179.25,5,4.0259037
2,-3.75,179.75,5,4.038125
2,-3.25,176.75,5,4.0126257
2,-3.25,177.25,5,4.0290356
2,-3.25,177.75,5,4.044862
2,-3.25,178.25,5,4.060104
2,-3.25,178.75,5,4.074824
2,-3.25,179.25,5,4.0890255
2,-3.25,179.75,5,4.1031113
2,-2.75,176.75,5,4.0596375
2,-2.75,177.25,5,4.0778875
2,-2.75,177.75,5,4.095586
2,-2.75,178.25,5,4.112755
2,-2.75,178.75,5,4.1292224
2,-2.75,179.25,5,4.1450105
2,-2.75,179.75,5,4.1606503
2,-2.25,176.75,5,4.08656
2,-2.25,177.25,5,4.107204
2,-2.25,177.75,5,4.1269703
2,-2.25,178.25,5,4.14587
2,-2.25,178.75,5,4.1636767
2,-2.25,179.25,5,4.1804037
2,-2.25,179.75,5,4.1966743
2,-1.75,176.75,5,4.0827675
2,-1.75,177.25,5,4.105963
2,-1.75,177.75,5,4.127758
2,-1.75,178.25,5,4.148158
2,-1.75,178.75,5,4.167087
2,-1.75,179.25,5,4.1845465
2,-1.75,179.75,5,4.2010684
2,-1.25,176.75,5,4.052797
2,-1.25,177.25,5,4.0768895
2,-1.25,177.75,5,4.0995154
2,-1.25,178.25,5,4.120677
2,-1.25,178.75,5,4.140122
2,-1.25,179.25,5,4.157853
2,-1.25,179.75,5,4.1743646
2,-0.75,176.75,5,3.9913528
2,-0.75,177.25,5,4.0151525
2,-0.75,177.75,5,4.0381165
2,-0.75,178.25,5,4.0602636
2,-0.75,178.75,5,4.08083
2,-0.75,179.25,5,4.0998173
2,-0.75,179.75,5,4.1176624
2,-0.25,176.75,5,3.913138
2,-0.25,177.25,5,3.934271
2,-0.25,177.75,5,3.9558132
2,-0.25,178.25,5,3.9777641
2,-0.25,178.75,5,3.999627
2,-0.25,179.25,5,4.021402
2,-0.25,179.75,5,4.042571
2,0.25,176.75,5,3.8376174
2,0.25,177.25,5,3.8556144
2,0.25,177.75,5,3.8742063
2,0.25,178.25,5,3.893392
2,0.25,178.75,5,3.9135346
2,0.25,179.25,5,3.9346323
2,0.25,179.75,5,3.956437
2,0.75,176.75,5,3.7391012
2,0.75,177.25,5,3.7538886
2,0.75,177.75,5,3.7691205
2,0.75,178.25,5,3.7847943
2,0.75,178.75,5,3.8015296
2,0.75,179.25,5,3.8193238
2,0.75,179.75,5,3.8384917
2,1.25,176.75,5,3.6246762
2,1.25,177.25,5,3.6342664
2,1.25,177.75,5,3.6442344
2,1.25,178.25,5,3.654582
2,1.25,178.75,5,3.665715
2,1.25,179.25,5,3.6776273
2,1.25,179.75,5,3.6909337
2,1.75,176.75,5,3.5081425
2,1.75,177.25,5,3.513362
2,1.75,177.75,5,3.5189779
2,1.75,178.25,5,3.5249832
2,1.75,178.75,5,3.5314052
2,1.75,179.25,5,3.5382125
2,1.75,179.75,5,3.545873
2,2.25,176.75,5,3.4027555
2,2.25,177.25,5,3.4047782
2,2.25,177.75,5,3.4071412
2,2.25,178.25,5,3.4098763
2,2.25,178.75,5,3.4130592
2,2.25,179.25,5,3.416721
2,2.25,179.75,5,3.4210157
2,2.75,176.75,5,3.315638
2,2.75,177.25,5,3.3158395
2,2.75,177.75,5,3.3159459
2,2.75,178.25,5,3.31598
2,2.75,178.75,5,3.3163984
2,2.75,179.25,5,3.317225
2,2.75,179.75,5,3.318802
2,3.25,176.75,5,3.239117
2,3.25,177.25,5,3.2393003
2,3.25,177.75,5,3.2388585
2,3.25,178.25,5,3.2377965
2,3.25,178.75,5,3.2366562
2,3.25,179.25,5,3.235444
2,3.25,179.75,5,3.2349203
2,3.75,176.75,5,3.1659539
2,3.75,177.25,5,3.1673722
2,3.75,177.75,5,3.1678348
2,3.75,178.25,5,3.1673708
2,3.75,178.75,5,3.166273
2,3.75,179.25,5,3.1645687
2,3.75,179.75,5,3.1631074
2,4.25,176.75,5,3.0931442
2,4.25,177.25,5,3.096304
2,4.25,177.75,5,3.0985448
2,4.25,178.25,5,3.0998697
2,4.25,178.75,5,3.1002295
2,4.25,179.25,5,3.099626
2,4.25,179.75,5,3.0985298
2,4.75,176.75,5,3.02054
2,4.75,177.25,5,3.0252357
2,4.75,177.75,5,3.0291154
2,4.75,178.25,5,3.0321798
2,4.75,178.75,5,3.034281
2,4.75,179.25,5,3.0354197
2,4.75,179.75,5,3.035886
2,5.25,176.75,5,2.9474003
2,5.25,177.25,5,2.9536269
2,5.25,177.75,5,2.959025
2,5.25,178.25,5,2.9636273
2,5.25,178.75,5,2.9672308
2,5.25,179.25,5,2.9698665
2,5.25,179.75,5,2.9717224
2,5.75,176.75,5,2.8738034
2,5.75,177.25,5,2.881532
2,5.75,177.75,5,2.8883665
2,5.75,178.25,5,2.8943093
2,5.75,178.75,5,2.8992286
2,5.75,179.25,5,2.9031262
2,5.75,179.75,5,2.9062414
2,6.25,176.75,5,2.8009017
2,6.25,177.25,5,2.8096256
2,6.25,177.75,5,2.817515
2,6.25,178.25,5,2.8245692
2,6.25,178.75,5,2.8306897
2,6.25,179.25,5,2.8358757
2,6.25,179.75,5,2.8401616
2,6.75,176.75,5,2.7302597
2,6.75,177.25,5,2.739788
2,6.75,177.75,5,2.7485456
2,6.75,178.25,5,2.7565303
2,6.75,178.75,5,2.7636657
2,6.75,179.25,5,2.7699463
2,6.75,179.75,5,2.7752364
2,7.25,176.75,5,2.6692603
2,7.25,177.25,5,2.6789489
2,7.25,177.75,5,2.687915
2,7.25,178.25,5,2.6961317
2,7.25,178.75,5,2.7035148
2,7.25,179.25,5,2.7100365
2,7.25,179.75,5,2.7156408
2,7.75,176.75,5,2.6155643
2,7.75,177.25,5,2.6250265
2,7.75,177.75,5,2.6337914
2,7.75,178.25,5,2.6418643
2,7.75,178.75,5,2.6491375
2,7.75,179.25,5,2.6556165
2,7.75,179.75,5,2.6612716
2,8.25,176.75,5,2.574875
2,8.25,177.25,5,2.583388
2,8.25,177.75,5,2.5912578
2,8.25,178.25,5,2.5984845
2,8.25,178.75,5,2.6050458
2,8.25,179.25,5,2.610942
2,8.25,179.75,5,2.616214
2,8.75,176.75,5,2.541395
2,8.75,177.25,5,2.5486655
2,8.75,177.75,5,2.5553916
2,8.75,178.25,5,2.561572
2,8.75,178.75,5,2.5672545
2,8.75,179.25,5,2.5724382
2,8.75,179.75,5,2.5772018
2,9.25,176.75,5,2.51614
2,9.25,177.25,5,2.5218337
2,9.25,177.75,5,2.527133
2,9.25,178.25,5,2.5320377
2,9.25,178.75,5,2.5366516
2,9.25,179.25,5,2.5409746
2,9.25,179.75,5,2.5450878
2,9.75,176.75,5,2.491364
2,9.75,177.25,5,2.4956594
2,9.75,177.75,5,2.4997525
2,9.75,178.25,5,2.503644
2,9.75,178.75,5,2.507419
2,9.75,179.25,5,2.5110784
2,9.75,179.75,5,2.514661
2,10.25,176.75,5,2.4670126
2,10.25,177.25,5,2.470065
2,10.25,177.75,5,2.4731448
2,10.25,178.25,5,2.4762516
2,10.25,178.75,5,2.4793882
2,10.25,179.25,5,2.482555
2,10.25,179.75,5,2.4857125
2,10.75,176.75,5,2.4374392
2,10.75,177.25,5,2.439672
2,10.75,177.75,5,2.4420948
2,10.75,178.25,5,2.4447079
2,10.75,178.75,5,2.4474254
2,10.75,179.25,5,2.450247
2,10.75,179.75,5,2.4530582
2,11.25,176.75,5,2.4041355
2,11.25,177.25,5,2.405852
2,11.25,177.75,5,2.4078748
2,11.25,178.25,5,2.4102032
2,11.25,178.75,5,2.412659
2,11.25,179.25,5,2.4152417
2,11.25,179.75,5,2.4177635
2,11.75,176.75,5,2.3618133
2,11.75,177.25,5,2.3633156
2,11.75,177.75,5,2.3651116
2,11.75,178.25,5,2.367202
2,11.75,178.75,5,2.369401
2,11.75,179.25,5,2.371709
2,11.75,179.75,5,2.3739293
2,12.25,176.75,5,2.3140342
2,12.25,177.25,5,2.3155031
2,12.25,177.75,5,2.3171802
2,12.25,178.25,5,2.319059
2,12.25,178.75,5,2.3210065
2,12.25,179.25,5,2.3230157
2,12.25,179.75,5,2.324927
2,12.75,176.75,5,2.2562695
2,12.75,177.25,5,2.2580855
2,12.75,177.75,5,2.2599776
2,12.75,178.25,5,2.26193
2,12.75,178.75,5,2.263854
2,12.75,179.25,5,2.2657337
2,12.75,179.75,5,2.2675085
2,13.25,176.75,5,2.1934502
2,13.25,177.25,5,2.1958122
2,13.25,177.75,5,2.1980846
2,13.25,178.25,5,2.2002623
2,13.25,178.75,5,2.2022727
2,13.25,179.25,5,2.2041154
2,13.25,179.75,5,2.2058313
2,13.75,176.75,5,2.1263592
2,13.75,177.25,5,2.1292918
2,13.75,177.75,5,2.132002
2,13.75,178.25,5,2.1345038
